"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2019-04-15","90.5","2.1788","5.9463","Jose Ramirez",608070,579328,"home_run","hit_into_play_score",,,,,1,"Jose Ramirez homers (1) on a fly ball to left field.  ","R","R","L","SEA","CLE","X","null","fly_ball",0,1,2019,"0.3191","1.3477","-0.3071","3.2734","null","null","null",0,3,"Top","17.26","67.03",,,553882,,"190416_025100","-6.9347","-131.8351","-3.7441","5.0534","23.9409","-15.6436","3.3300","1.5300","401","105.3","33","91.6520","2167","6.6000",566381,579328,553882,429665,543829,592387,542921,570267,605480,571745,"53.8999","0.816","1.592","2.00",1,0,3,6,18,"2","4-Seam Fastball",0,2,2,0,2,0,2,0,"Standard","Standard"
"CH","2019-06-04","82.5","2.1889","5.8224","Jose Ramirez",608070,656970,"field_out","hit_into_play",,,,,8,"Jose Ramirez lines out to center fielder Byron Buxton.  ","R","R","L","CLE","MIN","X",8,"line_drive",2,1,2019,"1.3396","0.2458","0.0035","1.6575","null",640458,467793,2,1,"Bot","115.95","72.47",,,641598,,"190604_233139","-7.4664","-119.8541","-3.3984","14.1498","22.6165","-29.4258","3.1900","1.5700","301","91.2","16","81.9030","1841","5.9240",565345,656970,641598,503556,570731,593934,593871,592696,621439,596146,"54.5754","0.810","0.773","0.00",1,0,0,4,9,"4","Changeup",0,0,0,0,0,0,0,0,"Infield shift","Standard"
"FT","2019-04-23","92.7","-3.3061","5.1898","Jose Ramirez",608070,641154,"single","hit_into_play_no_out",,,,,5,"Jose Ramirez singles on a line drive to right fielder Brian Anderson.  ","R","L","R","CLE","MIA","X",9,"line_drive",1,2,2019,"-1.0254","0.5241","-0.1198","2.8096","null","null","null",1,6,"Bot","182.22","95.92",,,595751,,"190423_235123","10.5736","-134.9042","-1.5428","-14.9327","25.6034","-25.4334","3.3767","1.6772","231","91.3","16","94.3950","1980","6.9910",565325,641154,595751,445988,516770,542932,500743,434158,543194,605119,"53.5084","0.810","0.773","0.90",1,1,0,4,47,"4","2-Seam Fastball",0,3,0,3,3,0,0,3,"Standard","Standard"
"CH","2019-05-06","86.8","-2.7566","6.1502","Jose Ramirez",608070,467100,"single","hit_into_play_no_out",,,,,14,"Jose Ramirez singles on a line drive to right fielder Charlie Tilson.  ","R","L","R","CLE","CWS","X",9,"line_drive",1,1,2019,"-1.3714","0.4074","0.0344","1.5185","null","null","null",1,4,"Bot","189.72","126.23",,,543510,,"190506_231057","9.4700","-126.0742","-5.7221","-16.5040","24.5102","-26.9118","3.3510","1.7167","180","91.6","11","86.8710","1975","6.3380",565330,467100,543510,547989,570560,660162,641313,547170,544725,605508,"54.1617","0.808","0.732","0.90",1,1,0,4,29,"3","Changeup",0,4,0,4,4,0,0,4,"Infield shift","Standard"
"FF","2019-04-09","91.5","-2.1149","5.7300","Jose Ramirez",608070,519455,"field_out","hit_into_play",,,,,1,"Jose Ramirez lines out to shortstop Jordy Mercer.  ","R","L","R","DET","CLE","X",6,"line_drive",3,1,2019,"-0.3267","1.2019","-0.8030","2.8421","null","null","null",0,1,"Top","138.22","139.38",,,606988,,"190409_171246","4.0094","-133.3523","-4.0811","-4.6643","24.8036","-17.1889","3.3400","1.5300","169","97.9","10","92.0360","2296","6.2250",565513,519455,606988,408234,543281,600869,474568,592348,543484,592206,"54.2741","0.803","0.763","0.00",1,0,0,4,2,"5","4-Seam Fastball",0,1,1,0,1,0,1,0,"Infield shift","Standard"
"CH","2019-05-17","83.3","-2.7904","5.9993","Jose Ramirez",608070,605164,"field_out","hit_into_play",,,,,13,"Jose Ramirez lines out to left fielder Dwight Smith Jr. ","R","L","R","CLE","BAL","X",7,"line_drive",1,2,2019,"-0.9987","0.4232","-1.1660","2.3798","null","null","null",0,4,"Bot","74.26","97.17",,,642851,,"190518_002442","5.5920","-121.1696","-2.7074","-10.7058","21.4409","-27.7978","3.2850","1.4870","271","93.9","15","82.8490","1422","5.7990",565335,605164,642851,448801,542340,547004,621006,596105,592859,641820,"54.7007","0.792","0.732","0.00",1,0,0,4,32,"4","Changeup",1,4,1,4,4,1,1,4,"Infield shift","Standard"
"FT","2019-04-01","90.9","-2.7440","6.3745","Jose Ramirez",608070,467100,"field_out","hit_into_play",,,,,8,"Jose Ramirez flies out sharply to center fielder Adam Engel.  ","R","L","R","CLE","CWS","X",8,"fly_ball",1,1,2019,"-1.5413","0.7378","-0.0756","1.8334","null","null","null",2,3,"Bot","157.67","45.15",,,456078,,"190401_210303","9.6667","-131.8526","-6.8720","-19.3753","25.6385","-22.7041","3.2891","1.4891","370","102.3","27","89.4600","2157","5.3880",565316,467100,456078,475174,570560,660162,602922,650391,641553,594953,"55.1117","0.742","1.472","0.00",1,0,0,6,22,"3","2-Seam Fastball",0,0,0,0,0,0,0,0,"Infield shift","Standard"
"FF","2019-04-25","96.9","-2.1680","5.8695","Jose Ramirez",608070,543037,"field_out","hit_into_play",,,,,5,"Jose Ramirez lines out sharply to first baseman Yuli Gurriel.  ","R","L","R","HOU","CLE","X",3,"line_drive",0,0,2019,"-0.7705","1.3081","0.1202","2.6633","null","null","null",2,3,"Top","155.02","163.16",,,455139,,"190426_005253","7.8954","-140.8230","-6.0263","-12.0671","31.3931","-13.5371","3.2866","1.5400","155","105.9","8","97.1720","2418","6.4730",565615,543037,455139,493329,514888,608324,621043,488726,643393,502210,"54.0262","0.737","0.686","0.00",1,0,0,4,19,"1","4-Seam Fastball",0,1,1,0,1,0,1,0,"Infield shift","Standard"
"SI","2019-05-23","88.4","2.6002","5.8560","Jose Ramirez",608070,642232,"single","hit_into_play_no_out",,,,,5,"Jose Ramirez singles on a sharp line drive to left fielder Tommy Pham.  ","R","R","L","CLE","TB","X",7,"line_drive",0,0,2019,"1.0593","0.6708","-0.1394","2.2122","null","null","null",1,2,"Bot","68.66","93.91",,,456124,,"190523_224226","-8.7833","-128.4465","-4.1890","13.2996","24.0121","-24.2196","3.3500","1.5700","202","103.4","8","88.1260","1946","5.9810",565341,642232,456124,596847,664040,621002,642715,502054,595281,541645,"54.5180","0.729","0.683","0.90",1,1,0,4,16,"1","Sinker",0,3,0,3,3,0,0,3,"Standard","Standard"
"CH","2019-06-11","88.2","-2.7640","5.2822","Jose Ramirez",608070,622491,"field_out","hit_into_play",,,,,13,"Jose Ramirez lines out to right fielder Yasiel Puig.  ","R","L","R","CLE","CIN","X",9,"line_drive",1,2,2019,"-1.3953","0.1712","-1.1015","1.9039",571980,"null","null",1,4,"Bot","168.23","94.56",,,571466,,"190612_001609","6.7920","-128.2705","-2.4948","-16.4470","24.0778","-30.0683","3.3100","1.5600","268","81.1","21","87.5820","2068","5.7250",565351,622491,571466,458015,518618,553993,578428,642165,669222,624577,"54.7745","0.724","0.701","0.00",1,0,0,4,30,"4","Changeup",1,0,1,0,0,1,1,0,"null","null"
